100::ffff:ffff:ffff:ffff                # prov.alphonso.tv
2001:1600:13:100:f816:3eff:fe77:52ad    # sociagil.fr
2001:1600:13:100:f816:3eff:fee6:cee1    # www.yuzuni.com
2001:19f0:200:45af:225:90ff:fed3:1d86   # vertamedia.com
2001:19f0:4400:2c64:5400:4ff:fe99:3781  # magescripts.pw
2001:19f0:6c01:1013:5400:4ff:fe6d:b218  # ads.muslimehelfen.org
2001:1af8:4010:a03d::2                  # www.xcartpro.com
2001:1af8:4020:a058::20:22              # o2.mouseflow.com
2001:1af8:4020:a058::20:44              # o2.mouseflow.com
2001:1af8:4800:b001::babe:1             # ad.eporner.com
2001:1af8:4800:b001::babe:10            # ad.eporner.com
2001:1af8:4800:b001::babe:2             # ad.eporner.com
2001:1af8:4800:b001::babe:3             # ad.eporner.com
2001:1af8:4800:b001::babe:4             # ad.eporner.com
2001:1af8:4800:b001::babe:5             # ad.eporner.com
2001:1af8:4800:b001::babe:6             # ad.eporner.com
2001:1af8:4800:b001::babe:7             # ad.eporner.com
2001:1af8:4800:b001::babe:8             # ad.eporner.com
2001:1af8:4800:b001::babe:9             # ad.eporner.com
2001:1af8:5000:b001::14                 # infinity-c4.youboranqs01.com
2001:1af8:5000:b001::15                 # infinity-c4.youboranqs01.com
2001:1af8:5000:b001::16                 # infinity-c4.youboranqs01.com
2001:1af8:5000:b001::33                 # a-fds.youborafds01.com
2001:1af8:5000:b001::36                 # a-fds.youborafds01.com
2001:1af8:5000:b001::50                 # a-fds.youborafds01.com
2001:1af8:5000:b001::51                 # a-fds.youborafds01.com
2001:1af8:5000:b001::52                 # a-fds.youborafds01.com
2001:1af8:5000:b001::53                 # a-fds.youborafds01.com
2001:1af8:5000:b001::54                 # a-fds.youborafds01.com
2001:1af8:5000:b001::55                 # a-fds.youborafds01.com
2001:1af8:5000:b001::56                 # a-fds.youborafds01.com
2001:1bc0:ad::d100                      # out-lok.hpage.com
2001:240:2405:da28:4ff0:f8ed:45ed:8be6  # byfleur.myftp.org
2001:240:bb81:94:220:156:64:77          # katch.ne.jp
2001:250:1006:7f10:202:117:200:4        # ns2.xidian.edu.cn
2001:41d0:1:1b00:213:186:33:2           # cogivea.com
2001:41d0:202:100:145:239:192:103       # hub.adlpartner.com
2001:41d0:203:879f::29                  # www.exoclick.com
2001:41d0:301:5::23                     # bartekzukiewicz.pl
2001:41d0:301:5::30                     # www.cichodaje.pl
2001:41d0:301:7::100                    # www.butikyaya.pl
2001:41d0:301::23                       # www.clic-douaisis.fr
