2001:19f0:6c01:1013:5400:4ff:fe6d:b218  # ads.muslimehelfen.org
2001:470:1:3a::14                       # ad.keenspace.com
2001:470:1f07:135:e63d:1aff:fe85:29d0   # ads.financialcontent.com
2001:4800:7817:101:be76:4eff:fe04:53ff  # ads.gplusmedia.com
2001:4860:4802:32::15                   # adhunter.media
2001:4860:4802:32::181                  # analytics.google.com
2001:4860:4802:34::15                   # adhunter.media
2001:4860:4802:34::181                  # analytics.google.com
2001:4860:4802:36::15                   # adhunter.media
2001:4860:4802:36::181                  # analytics.google.com
2001:4860:4802:38::15                   # adhunter.media
2001:4860:4802:38::181                  # analytics.google.com
2001:4998:60:807::1                     # ads.avazu.net
2001:4998:60:807::2                     # ads.avazu.net
2001:67c:68::21                         # ad.lupa.cz
2600:1407:1800:480::1833                # analytics.htmedia.in
2600:1407:1800:485::1833                # analytics.htmedia.in
2600:1407:1800:48a::1833                # analytics.htmedia.in
2600:1407:1800:498::1833                # analytics.htmedia.in
2600:1407:1800:49c::1833                # analytics.htmedia.in
2600:1407:1800::17df:9ea9               # ads.pexi.nl
2600:1407:1800::17df:9eaa               # adm.fwmrm.net
2600:1407:1800::17df:9eb2               # ads.pexi.nl
2600:1407:1800::17df:9ec9               # adm.fwmrm.net
2600:1407:3c00:a80::24e8                # ads.ndtv1.com
2600:1407:3c00:a83::24e8                # ads.ndtv1.com
2600:1407:a800::1738:a822               # analytics.lucid.app
2600:1407:a800::1738:a859               # analytics.lucid.app
2600:1407:b800::687b:9853               # adsatt.espn.go.com
2600:1407:b800::687b:9858               # adsatt.espn.go.com
2600:141b:e800:c93::2bfd                # admanmedia.com
2600:141b:e800:c94::2bfd                # admanmedia.com
2600:1901:0:84f4::80                    # ad.infoseek.com
2600:9000:2029:2200:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:3600:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:5c00:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:9200:16:a3a9:5dc0:93a1   # ads.thestar.com
2600:9000:2029:a400:16:a3a9:5dc0:93a1   # ads.thestar.com
